,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,metadata,text_content
100,28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012.0,Sports,Urban Yoga Women Blue Skirt With Leggings,"{'id': '28456', 'gender': 'Women', 'masterCategory': 'Apparel', 'subCategory': 'Bottomwear', 'articleType': 'Skirts', 'baseColour': 'Blue', 'season': 'Summer', 'year': '2012.0', 'usage': 'Sports', 'productDisplayName': 'Urban Yoga Women Blue Skirt With Leggings'}",Women :: Apparel :: Bottomwear :: Skirts :: Blue :: Summer :: 2012.0 :: Sports :: Urban Yoga Women Blue Skirt With Leggings
101,34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Top,"{'id': '34009', 'gender': 'Girls', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Tops', 'baseColour': 'Black', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Gini and Jony Girls Black Top'}",Girls :: Apparel :: Topwear :: Tops :: Black :: Summer :: 2012.0 :: Casual :: Gini and Jony Girls Black Top
102,19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Men Air Rift MTR White Casual Shoe,"{'id': '19311', 'gender': 'Men', 'masterCategory': 'Footwear', 'subCategory': 'Shoes', 'articleType': 'Casual Shoes', 'baseColour': 'White', 'season': 'Fall', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'Nike Men Air Rift MTR White Casual Shoe'}",Men :: Footwear :: Shoes :: Casual Shoes :: White :: Fall :: 2011.0 :: Casual :: Nike Men Air Rift MTR White Casual Shoe
103,42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,ADIDAS Men White Corona Sports Shoes,"{'id': '42089', 'gender': 'Men', 'masterCategory': 'Footwear', 'subCategory': 'Shoes', 'articleType': 'Sports Shoes', 'baseColour': 'White', 'season': 'Summer', 'year': '2012.0', 'usage': 'Sports', 'productDisplayName': 'ADIDAS Men White Corona Sports Shoes'}",Men :: Footwear :: Shoes :: Sports Shoes :: White :: Summer :: 2012.0 :: Sports :: ADIDAS Men White Corona Sports Shoes
104,22950,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Unisex Black Dial Watch 9915PP13,"{'id': '22950', 'gender': 'Unisex', 'masterCategory': 'Accessories', 'subCategory': 'Watches', 'articleType': 'Watches', 'baseColour': 'Black', 'season': 'Winter', 'year': '2016.0', 'usage': 'Casual', 'productDisplayName': 'Fastrack Unisex Black Dial Watch 9915PP13'}",Unisex :: Accessories :: Watches :: Watches :: Black :: Winter :: 2016.0 :: Casual :: Fastrack Unisex Black Dial Watch 9915PP13
105,49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012.0,Casual,Vans Men Blue Era Scilla Plaid Shoes,"{'id': '49461', 'gender': 'Men', 'masterCategory': 'Footwear', 'subCategory': 'Shoes', 'articleType': 'Casual Shoes', 'baseColour': 'Blue', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Vans Men Blue Era Scilla Plaid Shoes'}",Men :: Footwear :: Shoes :: Casual Shoes :: Blue :: Summer :: 2012.0 :: Casual :: Vans Men Blue Era Scilla Plaid Shoes
106,8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015.0,Casual,Crocs Kids Navy Blue Clogs,"{'id': '8746', 'gender': 'Unisex', 'masterCategory': 'Footwear', 'subCategory': 'Flip Flops', 'articleType': 'Flip Flops', 'baseColour': 'Navy Blue', 'season': 'Summer', 'year': '2015.0', 'usage': 'Casual', 'productDisplayName': 'Crocs Kids Navy Blue Clogs'}",Unisex :: Footwear :: Flip Flops :: Flip Flops :: Navy Blue :: Summer :: 2015.0 :: Casual :: Crocs Kids Navy Blue Clogs
107,9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Classic Polo Men Vulcan White Polo Tshirts,"{'id': '9694', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Tshirts', 'baseColour': 'White', 'season': 'Fall', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'Classic Polo Men Vulcan White Polo Tshirts'}",Men :: Apparel :: Topwear :: Tshirts :: White :: Fall :: 2011.0 :: Casual :: Classic Polo Men Vulcan White Polo Tshirts
108,23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011.0,Sports,Fila Men Destiny Grey Sports Shoes,"{'id': '23882', 'gender': 'Men', 'masterCategory': 'Footwear', 'subCategory': 'Shoes', 'articleType': 'Sports Shoes', 'baseColour': 'Grey', 'season': 'Fall', 'year': '2011.0', 'usage': 'Sports', 'productDisplayName': 'Fila Men Destiny Grey Sports Shoes'}",Men :: Footwear :: Shoes :: Sports Shoes :: Grey :: Fall :: 2011.0 :: Sports :: Fila Men Destiny Grey Sports Shoes
109,34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012.0,Sports,ADIDAS Men Blue Chill Sports Shoes,"{'id': '34835', 'gender': 'Men', 'masterCategory': 'Footwear', 'subCategory': 'Shoes', 'articleType': 'Sports Shoes', 'baseColour': 'Blue', 'season': 'Summer', 'year': '2012.0', 'usage': 'Sports', 'productDisplayName': 'ADIDAS Men Blue Chill Sports Shoes'}",Men :: Footwear :: Shoes :: Sports Shoes :: Blue :: Summer :: 2012.0 :: Sports :: ADIDAS Men Blue Chill Sports Shoes
